Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
13,6277301,,4.0,14.0,Баянзүрх 2 өрөө байр 44м2,"110 сая ₮
үнэ тохирно",2024-03-18,22:39,,2 өрөө,"УБ — Баянзүрх, Өгөөмөр захын зүүн","
2024 оны 3-р улиралд ашиглалтанд орно.",https://www.unegui.mn/adv/6277301_2-oroo-bair-zarna/,Паркет,1 тагттай,2024.0,Байхгүй,Вакум,12.0,Бүргэд,44.0 м²,5.0,Лизинггүй,2.0,Ашиглалтад ороогүй,
59,6290326,"130 сая ₮ 150 сая ₮
Налайх дүүрэгт 3 өрөө
1 долоо хоногийн өмнө
УБ — Налайх",101.0,60.0,,,,,,,,,,,,,,,,,,,,,,
52,6299813,"3 сая ₮
Зайсанд 144мкв 4 өрөө
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",57.0,53.0,,,,,,,,,,,,,,,,,,,,,,
14,6354686,"370 сая ₮
Тээврийн товчоонд 4 өрөө 122.6м2
3 долоо хоногийн өмнө
УБ — Баянгол, Тээврийн товчоо",141.0,15.0,,,,,,,,,,,,,,,,,,,,,,
30,6375990,"3.8 сая ₮
Бзд, 3-р хороо, 165.4мкв 4 өрөө байр
2 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",1.0,31.0,,,,,,,,,,,,,,,,,,,,,,
30,6375990,,1.0,31.0,"Бзд, 3-р хороо, 165.4мкв 4 өрөө байр","3.8 сая ₮
үнэ тохирно",2024-03-16,12:17,,4 өрөө,"УБ — Баянзүрх, 13-р хороолол","
БЗД-ийн 3-р хороо, 12-р хороолол, хотын А бүсэд, Энхтайвны өргөн чөлөөнд, Сайд нарын 2-р эмнэлгийн зүүн тал, Ану-Үжин зочид буудлын баруун хойд талд Бридж Констракшн компани барьж, 2011 онд ашиглалтад оруулсан. Харъяа сургууль нь 33-р сургууль, харьяа цэцэрлэг 61-р цэцэрлэг.
Зүүн тийш харсан 3 цонх, 1 балконтой, баруун тийш харсан 4 цонх, 1 балконтой, хулсан шалтай, 3 ариун цэврийн өрөөтэй, 1 ажлын болон 1 агуулахын өрөөтэй, 4 өрөө байр.",https://www.unegui.mn/adv/6375990_bridzh-32-r-bairand-bair-zarna/,Мод,2 тагттай,2011.0,Байгаа,Вакум,9.0,Төмөр вакум,165.4 м²,6.0,Лизинггүй,7.0,Ашиглалтад орсон,
47,6400741,"83 сая ₮
Нисэх, буянт-ухаа 1 хороололд 1 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Нисэх",62.0,48.0,,,,,,,,,,,,,,,,,,,,,,
50,6402365,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",81.0,51.0,,,,,,,,,,,,,,,,,,,,,,
21,6407120,"Mandal
197.13 сая ₮
Баянзүрх хороололд 3 өрөө
5 өдрийн өмнө
УБ — Баянзүрх, 16-р хороолол",58.0,22.0,,,,,,,,,,,,,,,,,,,,,,
21,6416235,"2.3 сая ₮
3 oroo bair
2 өдрийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",34.0,22.0,,,,,,,,,,,,,,,,,,,,,,
2,6444651,"158 сая ₮
Шинэ налайх хороололд 3 өрөө 71.97м2
3 долоо хоногийн өмнө
УБ — Налайх",134.0,3.0,,,,,,,,,,,,,,,,,,,,,,
38,6487347,"2.8 сая ₮
Арцатын аманд 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",64.0,39.0,,,,,,,,,,,,,,,,,,,,,,
22,6491607,"267 сая ₮
Яармаг глобал гарден 3 өрөө 76,3м2
Өнөөдөр
УБ — Хан-Уул, Яармаг",10.0,23.0,,,,,,,,,,,,,,,,,,,,,,
14,6491607,,10.0,15.0,"Яармаг глобал гарден 3 өрөө 76,3м2","267 сая ₮
үнэ тохирно",2024-03-18,15:27,,3 өрөө,"УБ — Хан-Уул, Яармаг","
📍 ХУД, 4-р хороо, Хүүшийн аманд байрлах Глобал гарден хотхонд 76,3м.кв бүхий 3 өрөө орон сууцыг худалдана.

🔸 Гэрчилгээ гарсан
🔸 Давхар: 5/16
🔸 Талбай: 76.3м.кв
🔸 Цонх: Зүүн болон хойш
🔸 Төлбөр: Бэлэн мөнгөнд
🔸 100% бүрэн цутгамал хийцлэлтэй
🔸 Дугуй болон гүйлтийн замтай
🔸 Хотхоны 50% ногоон байгууламж байхаар төлөвлөсөн
🔸 34 болон 63-р сургууль, Гурван тамир, Харумафүжи, Бритиш сургууль
🔸 ХУД-н эмнэлэг Хүннү молл худалдааны төв, FOOD CITY худалдааны төвүүдтэй ойрхон
🔸 Эрүүл цэвэр агаарын бүс
🔸 Зүүн баруун болон хойшоо урагшаа харсан цонхтой",https://www.unegui.mn/adv/6491607_khotyn-tovd-2-oroo/,Паркет,1 тагттай,2023.0,Байхгүй,Вакум,16.0,Бүргэд,76.3 м²,5.0,Лизинггүй,4.0,Ашиглалтад орсон,
15,6502496,"117.04 сая ₮
Чандмань апартмент 2 өрөө байр 53м2
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",77.0,16.0,,,,,,,,,,,,,,,,,,,,,,
16,6502510,"114.62 сая ₮ 142 сая ₮
21р хороололд 52м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",77.0,17.0,,,,,,,,,,,,,,,,,,,,,,
35,6506161,"117.5 сая ₮ 126 сая ₮
10 хороололд 2 өрөө 51м2 байр
2 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",114.0,36.0,,,,,,,,,,,,,,,,,,,,,,
20,6508395,"450 сая ₮
Japan town 3 өрөө 79.9 мкв байр
6 өдрийн өмнө
УБ — Хан-Уул, Japan town",69.0,21.0,,,,,,,,,,,,,,,,,,,,,,
